Venue,Bat First,Bat Second,Winner
Grange Cricket Club Ground,Afghanistan,Scotland,Afghanistan
Civil Service Cricket Club,Ireland,Papua New Guinea,Papua New Guinea
Civil Service Cricket Club,Nepal,Hong Kong,Hong Kong
The Village,Nepal,Papua New Guinea,Papua New Guinea
The Village,Hong Kong,Ireland,Hong Kong
The Village,Afghanistan,Hong Kong,Hong Kong
The Village,Papua New Guinea,Afghanistan,Afghanistan
The Village,Hong Kong,Scotland,Scotland
Clontarf Cricket Club Ground,Oman,Afghanistan,Afghanistan
The Village,Ireland,Netherlands,Netherlands
VRA Ground,Netherlands,Nepal,Netherlands
Hazelaarweg,Netherlands,Nepal,Netherlands
Kingsmead,Australia,South Africa,South Africa
New Wanderers Stadium,South Africa,Australia,Australia
Newlands,South Africa,Australia,Australia
Harare Sports Club,India,Zimbabwe,India
Harare Sports Club,Zimbabwe,India,Zimbabwe
Bready Cricket Club,Ireland,Scotland,Scotland
Harare Sports Club,New Zealand,Zimbabwe,New Zealand
Adelaide Oval,India,Australia,India
Melbourne Cricket Ground,India,Australia,India
Sydney Cricket Ground,Australia,India,India
Dubai International Cricket Stadium,England,Pakistan,England
Dubai International Cricket Stadium,England,Pakistan,England
Himachal Pradesh Cricket Association Stadium,India,South Africa,South Africa
Barabati Stadium,India,South Africa,South Africa
The Rose Bowl,Sri Lanka,England,England
Old Trafford,England,Pakistan,Pakistan
Bay Oval,New Zealand,Sri Lanka,New Zealand
Eden Park,Sri Lanka,New Zealand,New Zealand
Eden Park,Pakistan,New Zealand,Pakistan
Seddon Park,Pakistan,New Zealand,New Zealand
Westpac Stadium,New Zealand,Pakistan,New Zealand
Pallekele International Cricket Stadium,Sri Lanka,West Indies,Sri Lanka
R Premadasa Stadium,West Indies,Sri Lanka,West Indies
Harare Sports Club,Pakistan,Zimbabwe,Pakistan
Harare Sports Club,Pakistan,Zimbabwe,Pakistan
Queens Sports Club,Zimbabwe,Afghanistan,Afghanistan
Queens Sports Club,Zimbabwe,Afghanistan,Afghanistan
